Participa;Depto;SL;Horas;Monto1;Monto2;Tiempo;Proyectos
Sí;A;1;32,67;9018,32;13100,59;25,75;9
Sí;A;3;42,13;9373,5;13109,62;22,2;10
Sí;A;2;39;8709,99;12568,56;21,81;13
Sí;A;2;43,64;8994,33;12777,25;27,62;8
Sí;A;2;33,88;9136,36;12892,39;33,19;10
Sí;A;2;32;9206,9;13311,17;27,09;10
Sí;A;3;40,25;8790,08;12798,03;27,72;12
Sí;A;3;35,29;8850,33;12903,4;24,01;9
Sí;A;1;40,97;8923,03;13175,58;24,75;12
Sí;A;3;34,03;9024,24;13531,01;26,26;9
Sí;A;1;42,05;9153,94;13071,08;25,92;12
Sí;A;2;38,83;9015,03;13024,16;28,89;11
Sí;A;1;31,64;9098,3;12380,17;23,36;10
Sí;A;2;43,72;8868,83;13184,54;25,38;10
Sí;A;2;41,06;8743,21;12869,74;30,46;11
Sí;A;1;37,81;8951,61;12523,47;33,33;8
Sí;A;2;43,72;8689,66;13074,82;30,18;13
Sí;A;3;31,2;9076,18;12949,33;26,65;11
Sí;A;1;37,13;9275,12;12778,42;25,54;10
Sí;A;2;43,08;8962,05;12909,67;23,94;13
Sí;A;2;34,54;8867,31;12972,32;25,24;10
Sí;A;2;35,79;8913,06;13086,19;27,29;12
Sí;A;3;31,3;9712,69;12977,25;28,88;13
Sí;A;1;37,42;9521,7;12321,92;26;11
Sí;A;1;34,82;8941,5;12967,08;24,76;9
Sí;A;1;35,16;8981,73;12733,76;28,45;10
Sí;A;3;42,11;9213,05;12977,98;26;12
Sí;A;3;33,64;8816,16;13142,42;27,78;8
Sí;A;2;32,16;8656,69;13363,06;29,49;9
Sí;A;2;37,57;8975,31;12725,42;29,49;11
Sí;A;2;40,61;8862,99;13258,94;23,29;9
Sí;A;1;40;8861,59;12787,72;28,16;9
Sí;A;1;34,37;8875,58;12393,86;28,34;8
Sí;A;1;40,58;8781,75;13345,41;23,31;12
Sí;A;3;34,04;8867,54;13336,83;29,62;12
Sí;A;2;42,05;9046,91;12808,84;27,66;9
Sí;A;2;41,91;8946,94;12879,03;32,49;12
Sí;A;2;38,63;8940,47;13129,55;28,98;11
Sí;A;2;30,77;8812,56;12963,04;32,34;8
Sí;A;1;32,65;8842,29;13521,39;27,62;13
Sí;A;3;43,41;8904,18;13635,38;28,07;10
Sí;B;3;31,05;11980,01;16677,5;27,99;8
Sí;B;1;32,07;12842,01;16290,98;32,25;8
Sí;B;3;31,27;12197,41;16857,01;30,54;11
Sí;B;2;43,72;11910,17;16847,82;32,82;13
Sí;B;2;30,79;12274,02;17014,29;33,03;13
Sí;B;3;35,59;12770,14;17680,08;34,5;10
Sí;B;2;40,28;12381,24;17119,77;30,25;10
Sí;B;3;42,46;12183,85;17374,03;26,12;11
Sí;B;1;39,44;12092,3;16666,91;31,76;11
Sí;B;1;42,15;11802,22;15596,73;31,34;11
Sí;B;2;33,54;12025,63;17038,35;30,54;11
Sí;B;1;42,41;11883,95;16815,75;26,36;8
Sí;B;1;30,9;12316,36;17509,6;26,07;12
Sí;B;3;36,45;11805,26;17179,13;37,52;10
Sí;B;1;36,77;11984,12;17495,86;32,91;11
Sí;B;1;33,81;11968,14;17170,43;33,58;8
Sí;B;2;35,13;11826,11;16957,09;30,9;11
Sí;B;3;31,54;12630,08;16824,97;28,07;11
Sí;B;1;31,02;12010,16;17290,29;24,28;10
Sí;B;3;33,85;11561,53;16586,99;26,77;10
Sí;B;2;42,47;11816,51;16904,93;28,39;10
Sí;B;1;35,64;12044,61;17038,51;29,79;13
Sí;B;2;32,98;11411,51;17073,13;30,39;10
Sí;B;1;43,5;11725,46;16777,48;26,98;10
Sí;B;2;43,91;12405,29;17018,17;27,78;9
Sí;B;1;30,99;11535,4;16809,2;24,31;10
Sí;B;2;41,11;11822,32;17016,67;26,86;9
Sí;B;1;42,85;11517,29;16657,01;29,52;13
No;A;2;39,87;9167,85;9680,16;26,57;12
No;A;1;33,48;8839,76;9526,46;17,36;11
No;A;3;33,53;8700,76;9529,32;22,22;12
No;A;2;41,16;8996,83;9682,61;17,64;8
No;A;1;38,67;9117,6;9797,81;19,31;11
No;A;1;42,69;8775,14;9343,97;27,88;10
No;A;3;42,62;9310,17;9190,37;24,28;10
No;A;3;36,82;8941,36;9344,97;27,05;11
No;A;3;31,47;9038,02;9674,99;17,12;11
No;A;3;35,1;9102,78;9846,97;25,95;10
No;A;2;30,24;8820,91;9765,1;23,81;13
No;A;1;43,45;9153,23;9758,93;21,62;8
No;A;2;34,83;9017,18;9665,02;27,28;13
No;A;1;34,02;9404,01;9653,4;26,39;11
No;A;1;36,59;9235,76;9479,33;22,96;9
No;A;3;37,16;9030,69;9315,64;26,51;10
No;A;1;33,43;8975,14;9388,19;29;9
No;A;1;31,09;9003,22;8959,64;25,9;13
No;A;1;32,43;9002,99;9591,39;25,79;9
No;A;1;37,41;8778,42;9701,99;25,68;11
No;A;1;40,5;8898,82;9427,06;21,08;11
No;A;2;30,95;8470,7;9522,3;19,74;10
No;A;3;31,94;9229,66;9855,63;22,21;11
No;A;2;36,41;9126,23;9657,09;20,62;12
No;A;1;38,19;8959,75;9532,87;21,79;13
No;A;3;35,78;9671,83;9533,28;23,75;13
No;A;3;35,84;9251,57;9653,28;22,05;13
No;A;2;31,44;9024,49;9364,57;27,69;8
No;A;2;43,46;9201,66;9641,09;19,41;8
No;A;2;31,33;8923,1;9346,62;24,15;13
No;B;2;39,85;9737,93;9720,55;30,79;11
No;B;2;43,15;10244,32;9672,16;34,89;10
No;B;3;33,87;9688,51;10110,44;24,34;8
No;B;1;43,35;10211,43;9839,82;35,66;8
No;B;2;42,45;9742,65;9628,8;28,44;10
No;B;3;38,09;9957,21;9804,41;28,91;11
No;B;3;34,78;9776,97;9231,03;35,02;8
No;B;1;31,78;10274,7;9374,64;29,22;9
No;B;1;34,82;9891,05;9463,75;32,49;11
No;B;2;30,64;10438,71;9584,85;26,59;10
No;B;2;32,26;10289,29;9476,79;26,71;8
No;B;2;41,69;10020,52;9837,26;27,99;12
No;B;3;32,9;9945,95;9343,76;30,43;11
No;B;3;30,55;10015,87;9979,31;21,98;13
No;B;3;41,29;10000,09;9231,16;28,61;9
No;B;3;42,45;9953,46;9490,69;33,92;13
No;B;3;36,58;9852,66;9424,78;28,61;9
No;B;2;41,23;10201,74;8924,47;39,89;9
No;B;1;35,63;10118,11;9030,86;32,78;11
No;B;3;41,93;9890,21;9655,72;31,18;8
No;B;1;31,79;9661,92;9641,65;30,09;11
No;B;3;40,99;9774,54;9273,3;35,16;12
No;B;3;40,74;10259,27;8903,44;33,32;12
No;B;3;33,42;9877,38;9137,51;32,5;11
No;B;3;32,7;9653,52;9555,75;37,16;11
No;B;1;40,5;9770,6;9967,9;34,7;12
No;B;2;40,32;10016,3;9325,59;32,59;11
No;B;1;39,83;9989,78;9416,13;28,63;9
No;B;1;41,64;9937,34;9777,1;34,78;8
No;B;3;36,52;9955,52;9342,76;29,47;13
No;B;3;39,74;9582,57;9843,46;29,4;11
No;B;1;37,01;9968,93;9603,71;27,68;9
No;B;1;35,97;10280,51;9863,49;33,13;10
No;B;1;39,19;9532,9;9060,87;36,48;13
No;B;1;35;10310,04;9539,37;34,11;9
No;B;3;34,82;10466,33;9975,64;38,92;9
No;B;3;41,65;9738,52;10043,91;33,68;13
No;B;3;35;10138,85;9683,02;26,7;11
No;B;1;34,44;9833,2;9252,76;23,28;9
No;B;1;41,63;10259,31;9261,8;40,27;9
No;B;3;38,5;9738,03;9200,99;33,17;11
No;B;2;34,77;9794,77;9043,16;46,74;13
No;B;3;35,78;9448,58;9616,77;25,77;12
No;B;1;36,89;10089,31;9894,58;30,66;13
No;B;2;37,16;9700,45;9790,6;24,09;8
No;B;1;40,55;10078,63;9299,82;28,35;8
No;B;3;35,95;10215,36;9045,49;32,21;12
No;B;1;41,58;9681,66;9876,9;25,5;10
No;B;1;30,56;9873,14;9637,18;39,28;10
No;B;1;38,94;9610,21;9735,13;30,94;12
No;B;1;31,96;9843,5;9765,97;30,99;10
No;B;3;33,12;9570,86;9074,85;27,88;10
No;B;2;33,93;10085,61;9508,3;23,67;11
No;B;2;36,81;9838,73;9195,78;30,99;9
No;B;3;34,51;9776,48;10220,25;33,47;12
No;B;2;32,46;10004,1;9856,98;26,52;13
