Sexo;Personas;Edad;Ecivil;Neduc;SALUD;Gtotal;Gperc;Itotal;Iperc
Femenino;5;50;casado;7;Fonasa;349029;69806;412500;82500
Femenino;1;45;Otro;9;Fonasa;192327;192327;320000;320000
Masculino;3;50;casado;14;Fonasa;2623384;874461;3624355;1208118
Masculino;4;59;casado;10;Fonasa;1948394;487098;1150000;287500
Masculino;1;50;Otro;14;Fonasa;1306267;1306267;1274062;1274062
Femenino;3;44;casado;13;Fonasa;3297729;1099243;2764342;921447
Femenino;1;79;casado;11;Fonasa;756707;756707;939981;939981
Masculino;1;46;Otro;13;Fonasa;966725;966725;1540000;1540000
Femenino;3;35;Otro;14;Fonasa;986512;328837;623581;207860
Masculino;5;50;Otro;7;Fonasa;630108;126022;1333459;266692
Femenino;2;52;Otro;9;Fonasa;571610;285805;671041;335521
Masculino;3;57;casado;10;Fonasa;817776;272592;1022000;340667
Femenino;3;25;Otro;14;Fonasa;1051535;350512;1402507;467502
Femenino;1;29;Otro;13;Fonasa;657231;657231;968281;968281
Femenino;3;87;Otro;8;Fonasa;239907;79969;269200;89733
Femenino;2;55;Otro;7;Fonasa;516973;258486;580723;290362
Femenino;1;67;Otro;11;Fonasa;232346;232346;158000;158000
Masculino;4;57;casado;13;Fonasa;3117336;779334;3821667;955417
Masculino;3;55;Otro;7;Fonasa;966369;322123;719155;239718
Femenino;4;57;Otro;7;Fonasa;202812;50703;170000;42500
Femenino;1;45;Otro;14;Fonasa;1070225;1070225;519752;519752
Masculino;4;66;casado;15;Fonasa;3951362;987840;5492230;1373058
Femenino;7;52;casado;14;Fonasa;781032;111576;1366758;195251
Femenino;1;64;casado;13;Fonasa;285743;285743;477821;477821
Femenino;1;64;Otro;9;Fonasa;228740;228740;129000;129000
Masculino;2;55;casado;9;Fonasa;832334;416167;1172000;586000
Masculino;2;80;casado;11;Fonasa;1809850;904925;1237350;618675
Masculino;2;65;casado;11;Fonasa;794682;397341;739880;369940
Masculino;4;42;casado;9;Fonasa;1272552;318138;1126007;281502
Masculino;3;75;casado;14;Fonasa;1424265;474755;1167306;389102
Femenino;5;46;casado;9;Fonasa;890271;178054;427412;85482
Femenino;5;38;Otro;10;Fonasa;779550;155910;140000;28000
Femenino;1;78;Otro;11;Fonasa;163454;163454;144610;144610
Femenino;2;68;Otro;7;Fonasa;131418;65709;102900;51450
Femenino;2;55;casado;7;Fonasa;206397;103198;335000;167500
Femenino;3;58;casado;14;Fonasa;1736233;578744;1018000;339333
Femenino;5;38;Otro;7;Fonasa;750979;150196;404000;80800
Masculino;2;78;casado;11;Fonasa;1656622;828311;5650538;2825269
Masculino;3;39;Otro;9;Fonasa;624051;208017;450000;150000
Femenino;3;34;Otro;14;Fonasa;561446;187149;520000;173333
Femenino;2;25;casado;10;Fonasa;490248;245124;399000;199500
Masculino;2;54;casado;14;Fonasa;1328627;664313;2569808;1284904
Femenino;1;68;Otro;11;Fonasa;156356;156356;118500;118500
Masculino;9;70;casado;11;Fonasa;1401945;155772;1680000;186667
Masculino;3;61;casado;9;Fonasa;990549;330183;1386900;462300
Masculino;2;71;casado;11;Fonasa;334089;167044;412000;206000
Masculino;2;35;Otro;7;Fonasa;252425;126212;60310;30155
Masculino;7;51;casado;9;Fonasa;478932;68419;2336800;333829
Femenino;1;69;Otro;9;Fonasa;257517;257517;163000;163000
Masculino;2;63;Otro;11;Fonasa;1134132;567066;369810;184905
Masculino;5;56;casado;16;Fonasa;5564101;1112820;12610200;2522040
Masculino;5;37;Otro;13;Fonasa;671631;134326;895000;179000
Masculino;2;85;Otro;8;Fonasa;438227;219114;272000;136000
Masculino;3;72;casado;11;Fonasa;1210509;403503;1925000;641667
Femenino;2;81;Otro;11;Fonasa;467382;233691;628000;314000
Masculino;2;70;Otro;7;Fonasa;176386;88193;301000;150500
Femenino;3;50;casado;10;Fonasa;704837;234946;920620;306873
Masculino;3;38;Otro;7;Fonasa;284438;94813;680000;226667
Masculino;4;69;casado;9;Fonasa;825695;206424;878554;219639
Femenino;2;51;casado;9;Fonasa;844796;422398;400000;200000
Masculino;4;44;casado;14;Fonasa;2648836;662209;3551513;887878
Masculino;1;27;Otro;14;Fonasa;670505;670505;1782844;1782844
Masculino;1;76;Otro;12;Fonasa;376792;376792;274419;274419
Femenino;2;44;casado;13;Fonasa;888634;444317;1201176;600588
Masculino;3;63;casado;14;Fonasa;1652660;550887;2919428;973143
Femenino;4;42;casado;9;Fonasa;467392;116848;356000;89000
Femenino;8;63;Otro;-99;Fonasa;585133;73142;1223580;152948
Masculino;5;39;casado;14;Fonasa;2380096;476019;2650000;530000
Masculino;3;25;casado;7;Fonasa;777640;259213;471800;157267
Masculino;5;57;Otro;10;Fonasa;2217782;443556;2661020;532204
Femenino;4;34;Otro;7;Fonasa;696117;174029;610000;152500
Femenino;1;35;Otro;13;Fonasa;950218;950218;680003;680003
Masculino;4;70;casado;8;Fonasa;780490;195123;679314;169829
Femenino;2;27;casado;15;Fonasa;2657502;1328751;2775543;1387771
Femenino;2;30;casado;14;Fonasa;472966;236483;1801090;900545
Masculino;2;69;casado;14;Fonasa;1809474;904737;2044000;1022000
Masculino;2;65;casado;7;Fonasa;216418;108209;400000;200000
Femenino;1;91;Otro;8;Fonasa;130152;130152;270000;270000
Masculino;3;49;casado;14;Fonasa;1554647;518216;1790080;596693
Masculino;3;55;casado;13;Fonasa;2142360;714120;2443642;814547
Femenino;1;66;casado;14;Fonasa;319270;319270;231072;231072
Masculino;2;64;Otro;10;Fonasa;544395;272198;681250;340625
Femenino;4;56;casado;13;Fonasa;690391;172598;946500;236625
Masculino;3;31;Otro;9;Fonasa;866903;288968;1035000;345000
Masculino;3;39;casado;10;Fonasa;594484;198161;983546;327849
Masculino;2;51;Otro;9;Fonasa;1105073;552536;1226201;613101
Femenino;2;48;casado;9;Fonasa;409490;204745;280000;140000
Masculino;3;51;casado;7;Fonasa;663154;221051;820355;273452
Masculino;1;74;Otro;11;Fonasa;304953;304953;404666;404666
Femenino;5;32;Otro;9;Fonasa;469384;93877;495026;99005
Masculino;5;68;casado;11;Fonasa;398906;79781;705000;141000
Masculino;3;53;Otro;14;Fonasa;3483749;1161250;4290241;1430080
Femenino;1;65;casado;8;Fonasa;318920;318920;219748;219748
Femenino;7;46;casado;14;Fonasa;6283806;897687;5613875;801982
Masculino;2;52;Otro;7;Fonasa;152191;76095;585500;292750
Masculino;2;80;casado;11;Fonasa;325256;162628;357450;178725
Masculino;5;27;Otro;13;Fonasa;742769;148554;1940026;388005
Femenino;1;23;Otro;14;Fonasa;788737;788737;223000;223000
Masculino;2;58;casado;1;Fonasa;160780;80390;900000;450000
Masculino;1;46;Otro;14;Fonasa;1117209;1117209;2200000;2200000
Masculino;2;55;casado;14;Fonasa;1845304;922652;3620675;1810338
Femenino;2;77;Otro;12;Fonasa;486135;243067;254292;127146
Masculino;5;84;casado;11;Fonasa;280620;56124;246000;49200
Femenino;5;28;casado;13;FFAA;1363002;272600;2831042;566208
Femenino;3;64;Otro;9;FAA;839240;279747;1688584;562861
Masculino;2;35;casado;14;Isapre;2794174;1397087;1900000;950000
Femenino;3;27;Otro;9;Isapre;1224627;408209;1280000;426667
Femenino;4;41;casado;10;Isapre;666124;166531;433000;108250
Masculino;1;18;Otro;9;Isapre;872368;872368;720000;720000
Masculino;3;38;casado;9;Isapre;1305389;435130;860464;286821
Masculino;2;68;casado;14;Isapre;3249062;1624531;730441;365221
Masculino;4;64;Otro;15;Isapre;4952741;1238185;6780000;1695000
Masculino;2;66;casado;9;Isapre;772288;386144;3870000;1935000
Masculino;3;60;casado;14;Isapre;2009090;669697;2000000;666667
Femenino;3;42;Otro;10;Isapre;1079622;359874;510000;170000
Masculino;6;44;casado;9;Isapre;1203181;200530;1785000;297500
Femenino;2;54;casado;14;Isapre;590158;295079;1500100;750050
Femenino;5;42;casado;9;Otro;662942;132588;300000;60000
Masculino;1;24;Otro;14;Otro;1029825;1029825;600000;600000
Masculino;2;60;casado;11;Isapre;608566;304283;613494;306747
Femenino;4;50;casado;7;Fonasa;132429;33107;543700;135925
Masculino;1;27;Otro;14;Isapre;1157101;1157101;1500000;1500000
Femenino;4;50;casado;7;Fonasa;207771;51943;162300;40575
Masculino;2;67;Otro;1;Fonasa;131663;65832;320000;160000
